timestamp,Left,Right,final_diagnosis
2025-06-02 0:38,"{'thumb_diff': 0.008, 'pinky_diff': 0.0, 'y_diffs': [-0.035, -0.044, -0.042, -0.029, -0.022], 'drift_detected': False, 'drop_detected': False}","{'thumb_diff': 0.014, 'pinky_diff': -0.016, 'y_diffs': [0.218, 0.152, 0.134, 0.139, 0.12], 'drift_detected': False, 'drop_detected': True}",drop
2025-06-02 0:39,"{'thumb_diff': 0.02, 'pinky_diff': -0.004, 'y_diffs': [0.212, 0.229, 0.228, 0.198, 0.213], 'drift_detected': False, 'drop_detected': True}","{'thumb_diff': 0.019, 'pinky_diff': 0.011, 'y_diffs': [0.084, 0.09, 0.088, 0.088, 0.086], 'drift_detected': False, 'drop_detected': True}",drop
2025-06-02 0:39,"{'thumb_diff': -0.008, 'pinky_diff': -0.002, 'y_diffs': [0.196, 0.227, 0.231, 0.212, 0.187], 'drift_detected': False, 'drop_detected': True}","{'thumb_diff': 0.033, 'pinky_diff': -0.025, 'y_diffs': [0.008, 0.064, 0.062, 0.045, 0.034], 'drift_detected': False, 'drop_detected': False}",drop
2025-06-02 0:40,"{'thumb_diff': -0.01, 'pinky_diff': -0.016, 'y_diffs': [0.147, 0.121, 0.098, 0.11, 0.141], 'drift_detected': False, 'drop_detected': True}","{'thumb_diff': 0.02, 'pinky_diff': 0.01, 'y_diffs': [0.06, 0.071, 0.061, 0.057, 0.046], 'drift_detected': False, 'drop_detected': False}",drop
2025-06-02 0:41,"{'thumb_diff': -0.008, 'pinky_diff': 0.004, 'y_diffs': [0.024, 0.006, 0.003, 0.006, 0.012], 'drift_detected': False, 'drop_detected': False}","{'thumb_diff': -0.001, 'pinky_diff': -0.017, 'y_diffs': [0.23, 0.161, 0.176, 0.177, 0.136], 'drift_detected': False, 'drop_detected': True}",drop
2025-06-02 0:42,"{'thumb_diff': -0.004, 'pinky_diff': -0.005, 'y_diffs': [-0.01, -0.015, -0.009, 0.006, 0.004], 'drift_detected': False, 'drop_detected': False}","{'thumb_diff': 0.028, 'pinky_diff': 0.014, 'y_diffs': [0.189, 0.18, 0.197, 0.18, 0.159], 'drift_detected': False, 'drop_detected': True}",drop
2025-06-02 0:42,"{'thumb_diff': -0.006, 'pinky_diff': 0.008, 'y_diffs': [0.187, 0.163, 0.181, 0.167, 0.162], 'drift_detected': False, 'drop_detected': True}","{'thumb_diff': 0.019, 'pinky_diff': 0.023, 'y_diffs': [0.032, 0.063, 0.05, 0.035, 0.038], 'drift_detected': False, 'drop_detected': False}",drop
2025-06-02 0:44,"{'thumb_diff': 0.015, 'pinky_diff': -0.044, 'y_diffs': [0.011, -0.105, -0.068, -0.027, -0.007], 'drift_detected': False, 'drop_detected': False}","{'thumb_diff': -0.009, 'pinky_diff': -0.012, 'y_diffs': [0.033, 0.027, 0.028, 0.028, 0.028], 'drift_detected': False, 'drop_detected': False}",drop
2025-06-02 0:45,"{'thumb_diff': 0.005, 'pinky_diff': -0.004, 'y_diffs': [-0.011, -0.112, -0.075, -0.026, -0.016], 'drift_detected': False, 'drop_detected': False}","{'thumb_diff': 0.063, 'pinky_diff': 0.019, 'y_diffs': [0.21, 0.29, 0.232, 0.224, 0.217], 'drift_detected': False, 'drop_detected': True}",drop
2025-06-02 0:46,"{'thumb_diff': 0.056, 'pinky_diff': -0.031, 'y_diffs': [0.021, -0.043, -0.036, -0.034, -0.023], 'drift_detected': True, 'drop_detected': False}","{'thumb_diff': -0.002, 'pinky_diff': 0.002, 'y_diffs': [0.004, -0.004, -0.009, -0.009, -0.005], 'drift_detected': False, 'drop_detected': False}",drift_detected
2025-06-02 0:46,"{'thumb_diff': 0.048, 'pinky_diff': -0.034, 'y_diffs': [-0.005, -0.001, 0.009, 0.02, 0.032], 'drift_detected': True, 'drop_detected': False}","{'thumb_diff': 0.005, 'pinky_diff': 0.003, 'y_diffs': [0.039, 0.034, 0.038, 0.035, 0.034], 'drift_detected': False, 'drop_detected': False}",drift_detected
2025-06-02 0:47,"{'thumb_diff': -0.004, 'pinky_diff': -0.003, 'y_diffs': [0.017, 0.017, 0.015, 0.014, 0.018], 'drift_detected': False, 'drop_detected': False}","{'thumb_diff': 0.05, 'pinky_diff': -0.063, 'y_diffs': [-0.05, 0.008, 0.041, 0.045, 0.01], 'drift_detected': False, 'drop_detected': False}",drift_detected
2025-06-02 0:48,"{'thumb_diff': 0.01, 'pinky_diff': 0.005, 'y_diffs': [0.007, 0.001, 0.018, 0.025, 0.033], 'drift_detected': False, 'drop_detected': False}","{'thumb_diff': -0.077, 'pinky_diff': 0.123, 'y_diffs': [-0.006, -0.037, -0.004, 0.033, 0.088], 'drift_detected': True, 'drop_detected': False}",drift_detected
2025-06-02 0:48,"{'thumb_diff': 0.091, 'pinky_diff': 0.009, 'y_diffs': [0.076, 0.042, 0.027, 0.031, 0.013], 'drift_detected': False, 'drop_detected': False}","{'thumb_diff': -0.006, 'pinky_diff': -0.008, 'y_diffs': [0.076, 0.035, 0.033, 0.033, 0.055], 'drift_detected': False, 'drop_detected': False}",drift_detected
2025-06-02 0:49,"{'thumb_diff': -0.003, 'pinky_diff': -0.012, 'y_diffs': [0.018, 0.024, 0.038, 0.037, 0.041], 'drift_detected': False, 'drop_detected': False}","{'thumb_diff': -0.022, 'pinky_diff': 0.064, 'y_diffs': [-0.035, -0.007, 0.036, 0.07, 0.096], 'drift_detected': True, 'drop_detected': False}",drift_detected
2025-06-02 0:49,"{'thumb_diff': 0.018, 'pinky_diff': -0.005, 'y_diffs': [0.002, -0.004, 0.001, 0.002, 0.003], 'drift_detected': False, 'drop_detected': False}","{'thumb_diff': 0.02, 'pinky_diff': 0.011, 'y_diffs': [0.012, 0.012, 0.011, 0.013, 0.014], 'drift_detected': False, 'drop_detected': False}",drift_detected
2025-06-02 0:51,"{'thumb_diff': 0.068, 'pinky_diff': -0.038, 'y_diffs': [-0.112, -0.065, -0.037, -0.014, 0.039], 'drift_detected': True, 'drop_detected': False}","{'thumb_diff': 0.013, 'pinky_diff': 0.019, 'y_diffs': [0.003, 0.011, 0.007, 0.013, 0.026], 'drift_detected': False, 'drop_detected': False}",drift_detected
2025-06-02 0:52,"{'thumb_diff': 0.014, 'pinky_diff': 0.009, 'y_diffs': [0.009, 0.009, 0.01, 0.013, 0.021], 'drift_detected': False, 'drop_detected': False}","{'thumb_diff': -0.107, 'pinky_diff': 0.093, 'y_diffs': [-0.013, -0.034, -0.011, 0.027, 0.069], 'drift_detected': True, 'drop_detected': False}",drift_detected
2025-06-02 00:54:31,"{'thumb_diff': 0.104, 'pinky_diff': -0.07, 'y_diffs': [-0.13, -0.044, 0.027, 0.091, 0.159], 'drift_detected': True, 'drop_detected': False}","{'thumb_diff': -0.008, 'pinky_diff': -0.005, 'y_diffs': [0.044, 0.073, 0.077, 0.083, 0.075], 'drift_detected': False, 'drop_detected': False}",drift_detected
